cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
64,63,20424,429942,5768,normal,5768,0.590793,0.000000,0.000000,0.000000,0.000000,0.000000,0.473950,1.000000,0.138183,1,1,0,247
65,64,20662,435198,5256,normal,5256,0.593791,0.000000,0.000000,0.000000,0.000000,0.000000,0.391768,1.000000,0.164536,1,1,0,246
66,65,20924,440966,5768,normal,5768,0.594778,0.000000,0.000000,0.000000,0.000000,0.000000,0.223910,1.000000,0.232619,1,1,0,247
67,66,21162,446222,5256,normal,5256,0.593027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.979463,0.263458,1,1,0,248
68,67,21424,451990,5768,normal,5768,0.589034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.548440,0.124798,1,1,0,247
69,68,21662,457246,5256,normal,5256,0.586156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232136,0.050447,1,1,0,247
70,69,21924,463014,5768,normal,5768,0.585097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267831,0.052877,1,1,0,248
71,70,22162,468270,5256,normal,5256,0.586971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263505,0.055027,1,1,0,247
72,71,22424,474038,5768,normal,5768,0.590296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.465162,0.102689,1,1,0,247
73,72,22662,479294,5256,normal,5256,0.593443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993042,0.202163,1,1,0,247
74,73,22924,485062,5768,normal,5768,0.594438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995969,0.238798,1,1,0,247
75,74,23162,490318,5256,normal,5256,0.592628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.725572,0.151016,1,1,0,247
76,75,23424,496086,5768,normal,5768,0.589105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.321827,0.068884,1,1,0,247
77,76,23662,501342,5256,normal,5256,0.585981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309675,0.060614,1,1,0,248
78,77,23924,507110,5768,normal,5768,0.585322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.626199,0.138822,1,1,0,245
79,78,24162,512366,5256,normal,5256,0.586903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000080,1.000000,0.278011,1,1,0,248
80,79,24424,518134,5768,normal,5768,0.590787,0.000000,0.000000,0.000000,0.000000,0.000000,0.485030,1.000000,0.128234,1,1,0,247
81,80,24662,523390,5256,normal,5256,0.593744,0.000000,0.000000,0.000000,0.000000,0.000000,0.424424,1.000000,0.155627,1,1,0,248
82,81,24924,529158,5768,normal,5768,0.594783,0.000000,0.000000,0.000000,0.000000,0.000000,0.225219,1.000000,0.233831,1,1,0,246
83,82,25162,534414,5256,normal,5256,0.593063,0.000000,0.000000,0.000000,0.000000,0.000000,0.010899,0.998474,0.298203,1,1,0,248
84,83,25424,540182,5768,normal,5768,0.589065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.622285,0.147102,1,1,0,247
85,84,25662,545438,5256,normal,5256,0.586195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.241095,0.050232,1,1,0,246
86,85,25924,551206,5768,normal,5768,0.585107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.253839,0.046973,1,1,0,248
87,86,26162,556462,5256,normal,5256,0.586983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271952,0.055725,1,1,0,246
88,87,26424,562230,5768,normal,5768,0.590305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382533,0.090415,1,1,0,247
89,88,26662,567486,5256,normal,5256,0.593469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990773,0.199703,1,1,0,248
90,89,26923,573254,5768,normal,5768,0.594457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992704,0.227735,1,1,0,246
91,90,27162,578510,5256,normal,5256,0.592637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.803081,0.155281,1,1,0,248
92,91,27423,584278,5768,normal,5768,0.589045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359656,0.086505,1,1,0,248
93,92,27662,589534,5256,normal,5256,0.585947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315164,0.065239,1,1,0,247
94,93,27923,595302,5768,normal,5768,0.585324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.684502,0.147212,1,1,0,247
95,94,28162,600558,5256,normal,5256,0.586907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.258598,1,1,0,246
96,95,28423,606326,5768,normal,5768,0.590683,0.000000,0.000000,0.000000,0.000000,0.000000,0.511412,1.000000,0.135975,1,1,0,248
97,96,28662,611582,5256,normal,5256,0.593696,0.000000,0.000000,0.000000,0.000000,0.000000,0.470717,1.000000,0.144354,1,1,0,246
98,97,28923,617350,5768,normal,5768,0.594805,0.000000,0.000000,0.000000,0.000000,0.000000,0.243523,1.000000,0.223139,1,1,0,248
99,98,29162,622606,5256,normal,5256,0.593085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000308,0.999948,0.301777,1,1,0,246
100,99,29423,628374,5768,normal,5768,0.589105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.691018,0.166423,1,1,0,247
101,100,29662,633630,5256,normal,5256,0.586197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.286701,0.054716,1,1,0,246
102,101,29923,639398,5768,normal,5768,0.585160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.302427,0.057381,1,1,0,247
103,102,30162,644654,5256,normal,5256,0.587018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.276299,0.054291,1,1,0,248
104,103,30423,650422,5768,normal,5768,0.590353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.312797,0.071364,1,1,0,245
105,104,30662,655678,5256,normal,5256,0.593431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.986539,0.194371,1,1,0,246
106,105,30923,661446,5768,normal,5768,0.594460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994492,0.248322,1,1,0,247
107,106,31161,666702,5256,normal,5256,0.592622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.925556,0.183517,1,1,0,246
108,107,31423,672470,5768,normal,5768,0.588983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333924,0.074022,1,1,0,249
109,108,31661,677726,5256,normal,5256,0.585800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.328450,0.063202,1,1,0,245
110,109,31923,683494,5768,normal,5768,0.585305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.754596,0.148293,1,1,0,246
111,110,32161,688750,5256,normal,5256,0.586885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.255292,1,1,0,246
112,111,32423,694518,5768,normal,5768,0.590650,0.000000,0.000000,0.000000,0.000000,0.000000,0.475254,1.000000,0.121369,1,1,0,249
113,112,32661,699774,5256,normal,5256,0.593648,0.000000,0.000000,0.000000,0.000000,0.000000,0.434142,1.000000,0.156990,1,1,0,244
