index,timestamp_ms,samples,cum_samples,cum_ms_by_samples,drift_ms,peak_int16
273,34000,2756,752388,68243.809524,-34243.809524,16353
274,34125,2756,755144,68493.786848,-34368.786848,16372
275,34250,2756,757900,68743.764172,-34493.764172,16358
276,34375,2756,760656,68993.741497,-34618.741497,16371
277,34500,2756,763412,69243.718821,-34743.718821,16371
278,34625,2756,766168,69493.696145,-34868.696145,16368
279,34750,2756,768924,69743.673469,-34993.673469,16371
280,34875,2756,771680,69993.650794,-35118.650794,16377
281,35000,2756,774436,70243.628118,-35243.628118,16377
282,35125,2756,777192,70493.605442,-35368.605442,16371
283,35250,2756,779948,70743.582766,-35493.582766,16368
284,35375,2756,782704,70993.560091,-35618.560091,16371
285,35500,2756,785460,71243.537415,-35743.537415,16371
286,35625,2756,788216,71493.514739,-35868.514739,16358
287,35750,2756,790972,71743.492063,-35993.492063,16372
288,35875,2756,793728,71993.469388,-36118.469388,16353
289,36000,2756,796484,72243.446712,-36243.446712,16348
290,36125,2756,799240,72493.424036,-36368.424036,16373
291,36250,2756,801996,72743.401361,-36493.401361,16330
292,36375,2756,804752,72993.378685,-36618.378685,16369
293,36500,2756,807508,73243.356009,-36743.356009,16369
294,36625,2756,810264,73493.333333,-36868.333333,16351
295,36750,2756,813020,73743.310658,-36993.310658,16373
296,36875,2756,815776,73993.287982,-37118.287982,16376
297,37000,2756,818532,74243.265306,-37243.265306,16376
298,37125,2756,821288,74493.242630,-37368.242630,16373
299,37250,2756,824044,74743.219955,-37493.219955,16351
300,37375,2756,826800,74993.197279,-37618.197279,16369
301,37500,2756,829556,75243.174603,-37743.174603,16369
302,37625,2756,832312,75493.151927,-37868.151927,16330
303,37750,2756,835068,75743.129252,-37993.129252,16373
304,37875,2756,837824,75993.106576,-38118.106576,16348
305,38000,2756,840580,76243.083900,-38243.083900,16353
306,38125,2756,843336,76493.061224,-38368.061224,16372
307,38250,2756,846092,76743.038549,-38493.038549,16358
308,38375,2756,848848,76993.015873,-38618.015873,16371
309,38500,2756,851604,77242.993197,-38742.993197,16371
310,38625,2756,854360,77492.970522,-38867.970522,16368
311,38750,2756,857116,77742.947846,-38992.947846,16371
312,38875,2756,859872,77992.925170,-39117.925170,16377
313,39000,2756,862628,78242.902494,-39242.902494,16377
314,39125,2756,865384,78492.879819,-39367.879819,16371
315,39250,2756,868140,78742.857143,-39492.857143,16368
316,39375,2756,870896,78992.834467,-39617.834467,16371
317,39500,2756,873652,79242.811791,-39742.811791,16371
318,39625,2756,876408,79492.789116,-39867.789116,16358
319,39750,2756,879164,79742.766440,-39992.766440,16372
320,39875,2756,881920,79992.743764,-40117.743764,16353
321,40000,2756,884676,80242.721088,-40242.721088,16348
322,40125,2756,887432,80492.698413,-40367.698413,16373
323,40250,2756,890188,80742.675737,-40492.675737,16330
324,40375,2756,892944,80992.653061,-40617.653061,16369
325,40500,2756,895700,81242.630385,-40742.630385,16369
326,40625,2756,898456,81492.607710,-40867.607710,16351
327,40750,2756,901212,81742.585034,-40992.585034,16373
328,40875,2756,903968,81992.562358,-41117.562358,16376
329,41000,2756,906724,82242.539683,-41242.539683,16376
330,41125,2756,909480,82492.517007,-41367.517007,16373
331,41250,2756,912236,82742.494331,-41492.494331,16351
332,41375,2756,914992,82992.471655,-41617.471655,16369
333,41500,2756,917748,83242.448980,-41742.448980,16369
334,41625,2756,920504,83492.426304,-41867.426304,16330
335,41750,2756,923260,83742.403628,-41992.403628,16373
336,41875,2756,926016,83992.380952,-42117.380952,16348
337,42000,2756,928772,84242.358277,-42242.358277,16353
338,42125,2756,931528,84492.335601,-42367.335601,16372
339,42250,2756,934284,84742.312925,-42492.312925,16358
340,42375,2756,937040,84992.290249,-42617.290249,16371
341,42500,2756,939796,85242.267574,-42742.267574,16371
342,42625,2756,942552,85492.244898,-42867.244898,16368
343,42750,2756,945308,85742.222222,-42992.222222,16371
344,42875,2756,948064,85992.199546,-43117.199546,16377
345,43000,2756,950820,86242.176871,-43242.176871,16377
346,43125,2756,953576,86492.154195,-43367.154195,16371
347,43250,2756,956332,86742.131519,-43492.131519,16368
348,43375,2756,959088,86992.108844,-43617.108844,16371
349,43500,2756,961844,87242.086168,-43742.086168,16371
350,43625,2756,964600,87492.063492,-43867.063492,16358
351,43750,2756,967356,87742.040816,-43992.040816,16372
352,43875,2756,970112,87992.018141,-44117.018141,16353
353,44000,2756,972868,88241.995465,-44241.995465,16348
354,44125,2756,975624,88491.972789,-44366.972789,16373
355,44250,2756,978380,88741.950113,-44491.950113,16330
356,44375,2756,981136,88991.927438,-44616.927438,16369
357,44500,2756,983892,89241.904762,-44741.904762,16369
358,44625,2756,986648,89491.882086,-44866.882086,16351
359,44750,2756,989404,89741.859410,-44991.859410,16373
360,44875,2756,992160,89991.836735,-45116.836735,16376
361,45000,2756,994916,90241.814059,-45241.814059,16376
362,45125,2756,997672,90491.791383,-45366.791383,16373
363,45250,2756,1000428,90741.768707,-45491.768707,16351
364,45375,2756,1003184,90991.746032,-45616.746032,16369
365,45500,2756,1005940,91241.723356,-45741.723356,16369
366,45625,2756,1008696,91491.700680,-45866.700680,16330
367,45750,2756,1011452,91741.678005,-45991.678005,16373
368,45875,2756,1014208,91991.655329,-46116.655329,16348
369,46000,2756,1016964,92241.632653,-46241.632653,16353
370,46125,2756,1019720,92491.609977,-46366.609977,16372
371,46250,2756,1022476,92741.587302,-46491.587302,16358
372,46375,2756,1025232,92991.564626,-46616.564626,16371
373,46500,2756,1027988,93241.541950,-46741.541950,16371
374,46625,2756,1030744,93491.519274,-46866.519274,16368
375,46750,2756,1033500,93741.496599,-46991.496599,16371
376,46875,2756,1036256,93991.473923,-47116.473923,16377
377,47000,2756,1039012,94241.451247,-47241.451247,16377
378,47125,2756,1041768,94491.428571,-47366.428571,16371
379,47250,2756,1044524,94741.405896,-47491.405896,16368
380,47375,2756,1047280,94991.383220,-47616.383220,16371
381,47500,2756,1050036,95241.360544,-47741.360544,16371
382,47625,2756,1052792,95491.337868,-47866.337868,16358
383,47750,2756,1055548,95741.315193,-47991.315193,16372
384,47875,2756,1058304,95991.292517,-48116.292517,16353
385,48000,2756,1061060,96241.269841,-48241.269841,16348
386,48125,2756,1063816,96491.247166,-48366.247166,16373
387,48250,2756,1066572,96741.224490,-48491.224490,16330
388,48375,2756,1069328,96991.201814,-48616.201814,16369
389,48500,2756,1072084,97241.179138,-48741.179138,16369
390,48625,2756,1074840,97491.156463,-48866.156463,16351
391,48750,2756,1077596,97741.133787,-48991.133787,16373
392,48875,2756,1080352,97991.111111,-49116.111111,16376
393,49000,2756,1083108,98241.088435,-49241.088435,16376
394,49125,2756,1085864,98491.065760,-49366.065760,16373
395,49250,2756,1088620,98741.043084,-49491.043084,16351
396,49375,2756,1091376,98991.020408,-49616.020408,16369
397,49500,2756,1094132,99240.997732,-49740.997732,16369
398,49625,2756,1096888,99490.975057,-49865.975057,16330
399,49750,2756,1099644,99740.952381,-49990.952381,16373
