cycle,seq,center_ts_ms,window_start_sample,window_delta,mode,emitted_samples,audio_gain,in_rms,out_rms_left,out_rms_right,mask_mean_left,mask_mean_right,heatmap_min,heatmap_max,heatmap_std,gap_fills,splice_fallbacks,lagging_windows,inference_ms
72,71,24560,521146,6024,normal,6024,0.592609,0.000000,0.000000,0.000000,0.000000,0.000000,0.493237,1.000000,0.131751,0,0,0,145
73,72,24924,529158,8012,normal,8012,0.594783,0.000000,0.000000,0.000000,0.000000,0.000000,0.253214,1.000000,0.214477,0,0,0,146
74,73,25287,537170,8012,normal,8012,0.591183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.797024,0.196737,0,0,0,148
75,74,25560,543194,6024,normal,6024,0.587161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.408294,0.092446,0,0,0,147
76,75,25924,551206,8012,normal,8012,0.585107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271957,0.050282,0,0,0,147
77,76,26287,559218,8012,normal,8012,0.588332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248394,0.054899,0,0,0,149
78,77,26560,565242,6024,normal,6024,0.592264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.688927,0.131358,0,0,0,146
79,78,26923,573254,8012,normal,8012,0.594457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992317,0.226471,0,0,0,146
80,79,27298,581522,8268,normal,8268,0.590816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673608,0.144773,0,0,0,158
81,80,27560,587290,5768,normal,5768,0.587207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.276496,0.055170,0,0,0,148
82,81,27923,595302,8012,normal,8012,0.585324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.599247,0.127435,0,0,0,156
83,82,28298,603570,8268,normal,8268,0.588793,0.000000,0.000000,0.000000,0.000000,0.000000,0.292323,1.000000,0.205392,0,0,0,176
84,83,28560,609338,5768,normal,5768,0.592655,0.000000,0.000000,0.000000,0.000000,0.000000,0.485027,1.000000,0.136193,0,0,0,220
85,84,28923,617350,8012,normal,8012,0.594805,0.000000,0.000000,0.000000,0.000000,0.000000,0.264717,1.000000,0.208734,0,0,0,146
86,85,29298,625618,8268,normal,8268,0.591172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.969591,0.261329,0,0,0,148
87,86,29560,631386,5768,normal,5768,0.587209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.407369,0.084747,0,0,0,148
88,87,29923,639398,8012,normal,8012,0.585160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.305324,0.057718,0,0,0,152
89,88,30298,647666,8268,normal,8268,0.588691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.228631,0.047946,0,0,0,160
90,89,30560,653434,5768,normal,5768,0.592281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.668684,0.130005,0,0,0,153
91,90,30923,661446,8012,normal,8012,0.594460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990442,0.235263,0,0,0,150
92,91,31298,669714,8268,normal,8268,0.590807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.628649,0.126517,0,0,0,149
93,92,31560,675482,5768,normal,5768,0.587150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255640,0.051185,0,0,0,147
94,93,31923,683494,8012,normal,8012,0.585305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.654159,0.128874,0,0,0,150
95,94,32298,691762,8268,normal,8268,0.588774,0.000000,0.000000,0.000000,0.000000,0.000000,0.327982,1.000000,0.199652,0,0,0,151
96,95,32560,697530,5768,normal,5768,0.592630,0.000000,0.000000,0.000000,0.000000,0.000000,0.492462,1.000000,0.132391,0,0,0,145
97,96,32923,705542,8012,normal,8012,0.594810,0.000000,0.000000,0.000000,0.000000,0.000000,0.245830,1.000000,0.216081,0,0,0,149
98,97,33298,713810,8268,normal,8268,0.591164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.866870,0.220073,0,0,0,149
99,98,33560,719578,5768,normal,5768,0.587332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382804,0.077805,0,0,0,152
100,99,33923,727590,8012,normal,8012,0.585106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333867,0.063974,0,0,0,145
101,100,34298,735858,8268,normal,8268,0.588655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236817,0.050704,0,0,0,164
